n,e,pop
6449000,608000,10
6450000,608000,12
6451000,608000,52
6453000,608000,3
6456000,608000,4
6460000,608000,3
6461000,608000,8
6463000,608000,10
6465000,608000,0
6466000,608000,0
6467000,608000,10
6468000,608000,4
6474000,608000,7
6476000,608000,3
6483000,608000,3
6484000,608000,0
6485000,608000,27
6486000,608000,14
6499000,608000,3
6501000,608000,7
6502000,608000,4
6504000,608000,5
6505000,608000,8
6506000,608000,4
6507000,608000,7
6508000,608000,26
6509000,608000,0
6511000,608000,7
6512000,608000,449
6513000,608000,359
6514000,608000,0
6515000,608000,3
6516000,608000,16
6518000,608000,0
6520000,608000,3
6521000,608000,0
6522000,608000,18
6523000,608000,12
6524000,608000,12
6525000,608000,6
6526000,608000,67
6527000,608000,40
6528000,608000,12
6529000,608000,33
6530000,608000,9
6532000,608000,6
6533000,608000,9
6535000,608000,5
6536000,608000,8
6537000,608000,7
6538000,608000,5
6542000,608000,14
6545000,608000,6
6547000,608000,12
6549000,608000,5
6550000,608000,0
6558000,608000,6
6559000,608000,0
6561000,608000,3
6562000,608000,0
6563000,608000,3
6568000,608000,3
6569000,608000,4
6570000,608000,4
6571000,608000,9
6573000,608000,4
6574000,608000,0
6575000,608000,12
6576000,608000,3
6578000,608000,4
6579000,608000,3
6580000,608000,7
6581000,608000,258
6582000,608000,192
6584000,608000,13
6585000,608000,16
6587000,608000,15
6588000,608000,17
6589000,608000,30
6590000,608000,13
6591000,608000,8
6606000,608000,16
6607000,608000,43
6608000,608000,10
6609000,608000,7
6610000,608000,22
6611000,608000,41
6613000,608000,3
6614000,608000,8
6616000,608000,3
6617000,608000,7
6618000,608000,10
6619000,608000,18
6620000,608000,10
6624000,608000,19
6626000,608000,20
6627000,608000,100
6628000,608000,312
6629000,608000,7
6631000,608000,9
6632000,608000,9
6633000,608000,6
6634000,608000,16
6637000,608000,3
6640000,608000,0
6644000,608000,11
6645000,608000,17
6646000,608000,4
6647000,608000,10
6649000,608000,10
6651000,608000,14
6656000,608000,13
6657000,608000,34
6667000,608000,0
6668000,608000,3
6669000,608000,4
6670000,608000,5
6671000,608000,8
6672000,608000,3
6675000,608000,16
6676000,608000,3
6677000,608000,5
6678000,608000,3
6679000,608000,37
6680000,608000,9
6681000,608000,19
6682000,608000,10
6690000,608000,7
6698000,608000,23
6700000,608000,13
6701000,608000,7
6702000,608000,0
6703000,608000,3
6718000,608000,6
6719000,608000,26
6720000,608000,76
6721000,608000,137
6722000,608000,136
6723000,608000,210
6724000,608000,530
6725000,608000,351
6726000,608000,36
6727000,608000,18
6745000,608000,4
6756000,608000,7
6757000,608000,3
6787000,608000,9
6790000,608000,3
6791000,608000,8
6792000,608000,106
6793000,608000,21
6795000,608000,12
6796000,608000,13
6797000,608000,33
6798000,608000,22
6801000,608000,29
6802000,608000,57
6803000,608000,16
6804000,608000,66
6818000,608000,0
6824000,608000,7
6825000,608000,34
6826000,608000,31
6827000,608000,28
6828000,608000,10
6829000,608000,3
6830000,608000,3
6831000,608000,77
6832000,608000,430
6833000,608000,122
6834000,608000,6
6838000,608000,3
6843000,608000,0
6846000,608000,0
6847000,608000,21
6848000,608000,55
6849000,608000,48
6850000,608000,3
6851000,608000,11
6852000,608000,13
6855000,608000,0
6856000,608000,0
6859000,608000,43
6860000,608000,163
6861000,608000,4
6863000,608000,7
6864000,608000,53
6865000,608000,3
6869000,608000,53
6870000,608000,49
